Tên sản phẩm,Giá bán,Bộ vi xử lý - Công nghệ CPU,Bộ vi xử lý - Số hiệu CPU,Bộ vi xử lý - Số nhân,Bộ vi xử lý - Số luồng,Bộ vi xử lý - Xung nhịp cơ bản,Bộ vi xử lý - Xung nhịp tối đa,Bộ vi xử lý - Bộ nhớ đệm,Đồ họa và Âm thanh - Card on-board,Đồ họa và Âm thanh - Card đồ hoạ rời,"Bộ nhớ RAM, Ổ cứng - RAM","Bộ nhớ RAM, Ổ cứng - Loại RAM","Bộ nhớ RAM, Ổ cứng - Tốc độ Bus","Bộ nhớ RAM, Ổ cứng - Số khe RAM trống","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp RAM","Bộ nhớ RAM, Ổ cứng - Ổ cứng mặc định","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp ổ cứng",Màn hình - Số lượng màn hình,Màn hình - Kích thước màn hình,Màn hình - Độ phân giải,Màn hình - Loại tấm nền,Màn hình - Công nghệ màn hình,Màn hình - Hỗ trợ cảm ứng,Màn hình - Tần số quét,Bàn phím & Touchpad - Bàn phím,Bàn phím & Touchpad - Đèn nền bàn phím,Bàn phím & Touchpad - Chuột / Touchpad,Cổng kết nối & tính năng mở rộng - Các cổng giao tiếp,Cổng kết nối & tính năng mở rộng - Kết nối không dây,Phần mềm - Hệ điều hành,Kích thước & trọng lượng - Kích thước,Kích thước & trọng lượng - Trọng lượng,Pin và Sạc - Dung lượng pin,Pin và Sạc - Bộ sạc theo máy,Thông tin khác - Thời điểm ra mắt,Thông tin khác - Chất liệu,Camera - Camera,Đồ họa và Âm thanh - Công nghệ âm thanh,Phần mềm - Phần mềm sẵn có,Thông số kỹ thuật - Keycap (bàn phím),Kết nối & Tương thích - Cổng giao tiếp,Màn hình - Chuẩn màn hình,Thông số kỹ thuật - Loại Switch,Thông số kỹ thuật - Chất liệu,Tiện ích - Tiện ích,Thông số kỹ thuật - Đèn LED
"Laptop ASUS Vivobook 15X OLED S3504VA-L1226W (i5-1340P/16GB/512GB/15.6"" FHD OLED/Windows 11) - Chính hãng","16,990,000 ₫",Intel Core i5,i5 - 1340P,12,16,1.9 GHz,4.6 GHz,12MB,Intel Iris Xe,GPU tích hợp,16GB,DDR4,3200MHz,1 khe,16GB,512GB SSD,Nâng cấp bộ nhớ mặc định lên dung lượng cao hơn,1,15.6 inch,1920x1080,OLED,"Tấm nền OLED
Tỉ lệ 16:9
Thời gian phản hồi 0.2ms
Độ sáng cực đại tối đa 400nits
Độ phủ màu 100% DCI-P3
Tỉ lệ tương phản 1,000,000:1,
Màn hình 1.07 tỉ màu",None,60Hz,Backlit Chiclet Keyboard,Có đèn nền,Multi-touch touchpad,"1x USB 2.0 Loại A
1x USB 3.2 Thế hệ 1 Loại C hỗ trợ power delivery
2x USB 3.2 Thế hệ 1 Loại A
1x HDMI 1.4
1x Giắc Âm thanh Kết hợp 3,5 mm
1x Headphone/Headset
1x Nguồn vào DC","Wi-Fi 6E
Bluetooth 5.3",Windows 11 Home,35.97 x 23.25 x 1.79 ~ 1.79 cm,1.60kg,50WHrs,,2023,Vỏ nhựa,720p HD,"SonicMaster
Loa tích hợp
Micrô array tích hợp
hỗ trợ nhận dạng giọng Cortana",,,DDR4,,,,,
Laptop LG Gram 14ZD90S-G.AX52A5 (Ultra 5 125H/16GB/256GB/14 inch WUXGA/ No OS/ Black) - Chính hãng,"20,990,000 ₫",Intel Core Ultra 5,U5 - 125H,14,18,1.20GHz,4.50GHz,18MB Cache,Intel® Arc™ graphics,GPU tích hợp,16GB,LPDDR5X,6400 MHz,Không,Không hỗ trợ nâng cấp,256GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 2 TB)",1,14 inch,1920 x 1200,IPS,"DCI-P3 99% (Thông thường)
Chống lóa mắt",Không,60Hz,Bàn phím tiêu chuẩn,Có đèn nền,Multi-touch touchpad,"1 x USB4 Gen 3x2 Type C (USB PD & Intel Thunderbolt 4)
1 x USB3.2 Gen 2x1 Type C (USB PD)
2 x USB 3.2 Gen1x1 : 5G
1 x HDMI (4K@60Hz)
1 x 3.5mm Combo Audio Jack","Wi-Fi 6E, Bluetooth® 5.3",Không hệ điều hành,"312 x 214,3 x 15,7 mm",1.12kg,72WHr,65W,2024,,Webcam FHD IR có micrô kép (Nhận dạng khuôn mặt),"Âm thanh HD với Dolby Atmos
Loa stereo 1,5 W x 2",,,,WUXGA,,,,
"Laptop ASUS Zenbook 14 OLED UX3405MA-PP588W (Core Ultra 5 125H/16GB/512GB/Intel Arc/14"" 3K OLED 120Hz/Windows 11) - Chính hãng","25,990,000 ₫",Intel Core Ultra 5,U5 - 125H,14,18,1.2 GHz,4.5 GHz,18MB,Intel Arc Graphics,GPU tích hợp,16GB,LPDDR5X,Đang cập nhật,None,16GB,512GB SSD,Nâng cấp bộ nhớ mặc định lên dung lượng cao hơn,1,14 inch,2880x1800,OLED,"Thời gian đáp ứng 0,2 ms
Độ sáng 400nits
Độ sáng tối đa 600 nit HDR
Dải màu DCI-P3 100%
Tỉ lệ tương phản 1,000,000:1
Màn hình HDR True Black 600 đạt CHỨNG NHẬN VESA
1,07 tỉ màu sắc
Màn hình gương
Giảm 70% ánh sáng xanh có hại
Được chứng nhận bởi TÜV Rheinland
Màn hình bảo vệ mắt SGS
Tỷ lệ màn hình trên thân máy 87%",Không,120Hz,Backlit Chiclet Keyboard,LED Trắng,Multi-touch touchpad,"1x USB 3.2 Gen 1 Type-A
2x Thunderbolt 4 hỗ trợ xuất màn hình / Power Delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack","Wi-Fi 6E
Bluetooth v5.3",Windows 11 Home,31.24 x 22.01 x 1.49 ~ 1.49 cm,1.20kg,75 Wh,"TYPE-C, Bộ đổi nguồn AC 65W, Đầu ra: 20V DC, 3,25A, 65W, Đầu vào: 100~240V AC 50/60Ghz chung",2024,Nhôm,FHD IR / 3DNR / ACS camera - nhận diện khuôn mặt,"Công nghệ Amply Thông minh
Loa tích hợp
Micrô array tích hợp
harman/kardon (Cao cấp)",,,LPDDR5X,,Intel AI Boost NPU,,,
"Laptop HP 15-FD0237TU (9Q972PA) (i5-1334U/ 8GB/ 512GB/15.6"" FHD/Win11/ Bạc) - Chính hãng","14,990,000 ₫",Intel Core i5,i5 - 1334U,10,12,,4.6 GHz,12 MB,Card tích hợp - Intel Iris Xe Graphics,,8GB,DDR4,3200 MHz,None,16 GB,512GB SSD,,1,15.6 inch,1920x1080,,"Micro-edge, anti-glare, 250 nits, 45% NTSC",None,,Full-size có phím số,,Multi-touch touchpad,"1 USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors)
2 USB Type-A 5Gbps signaling rate
1 AC smart pin
1 HDMI 1.4b
1 headphone/microphone combo","Bluetooth v5.3
Wi-Fi 6",Windows 11 Home,,1.59 kg,"3-cell, 41 Wh",,,,HP True Vision 720p HD,,,,,,,,,
"Laptop MSI Gaming Cyborg 14 A13UDX-099VN (i7-13620H/16GB/512GB/RTX3050/14"" FHD/RTX3050/Win 11/Balo)","21,990,000 ₫",Intel Core i7,i7 - 13620H,10,16,1.8 GHz,4.9 GHz,,,NVIDIA GeForce RTX 3050 6GB,16GB,DDR5,5600 MHz,Không,96 GB,512GB SSD,,1,14 inch,1920x1200,IPS,"100% sRGB
16:10",None,144Hz,"6-row, multimedia Fn keys",Đơn sắc: Xanh,Multi-touch touchpad,"1 Type C
2 USB 3.2 Gen 1 Type-A
1 HDMI 2.1
1 RJ45 Gigabit Ethernet","Wifi 6E
Bluetooth 5.2",Windows 11 Home Single Language,314.7 x 233.5 x 18.6-22.3 mm,1.6 kg,53.5 Wh,120 W,01/2024,Hợp chất nhựa,HD Webcam (720p Webcam),Nahimic Audio,,,,,,,,
"Laptop Gaming Lenovo LOQ Essential 15IAX9E - 83LK0036VN (i5-12450HX/12GB/512GB SSD/RTX3050/ 15.6"" FHD 144Hz/Win 11) - Chính hãng","17,990,000 ₫",Intel Core i5,i5 - 12450HX,8,12,2.0 GHz,4.4 GHz,12MB,Intel UHD Graphics,"NVIDIA GeForce RTX 3050, 6GB GDDR6",12GB,DDR5,4800 MHz,1 khe,Tối đa 32GB,512GB SSD,Hỗ trợ 2 khe SSD M.2,1,15.6 inch,1920 x 1080,IPS,"Anti-glare, 100% sRGB",Không,144Hz,"Full-size, Gaming Keyboard","Có, màu trắng",Multi-touch Precision Touchpad,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x USB-C® (USB 5Gbps / USB 3.2 Gen 1), data transfer only
1x HDMI® 2.1, up to 8K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Ethernet (RJ-45)
1x Card reader
1x Power connector","Wi-Fi 6
Bluetooth 5.2",Windows 11 Home,359.3 x 236 x 19.9 - 22.95 mm,1.77 kg,57Wh,135W AC Adapter,2023,Nhựa cao cấp,720p HD Camera với E-shutter,"High Definition (HD) Audio, Nahimic Audio","Lenovo Vantage, McAfee LiveSafe",,,FHD,,,,
Laptop ASUS Zenbook 14 (UM3406KA-PP555WS) (RYZEN AI 7 350/32GB/512GB/14.0_3K/OLED-120Hz/W11SL/TUI/OFFICE/ĐEN) - Chính hãng,"30,990,000 ₫",AMD Ryzen AI 7 - 350,R7 AI - 350,8,16,,5GHz,24MB,AMD Radeon™,,32 GB,LPDDR5X,,,,512 GB SSD NVMe PCIe Gen 4.0,,1,14 inch,2880 x 1800,OLED,"Thời gian phản hồi 0.2 ms
Màn hình bảo vệ mắt - EYE CARE
Chuẩn DisplayHDR True Black 600
Low Blue Light
LED Backlit
400 nits
600 nits (Khi bật HDR)
1.07 tỷ màu",,120 Hz,"Bàn phím Chiclet
Hành trình phím 1.4mm
Phím Copilot",Đơn sắc - Màu trắng,Chuột cảm ứng chính xác,"1x USB 3.2 Thế hệ 1 Loại A (tốc độ truyền dữ liệu lên tới 5Gbps)
1x USB 3.2 Thế hệ 2 Loại C hỗ trợ màn hình / power delivery (tốc độ truyền dữ liệu lên tới 10Gbps)
1x USB 4.0 Thế hệ 3 Loại C hỗ trợ màn hình / power delivery (tốc độ truyền dữ liệu lên tới 40Gbps)
1x HDMI 2.1 TMDS
1x Giắc Âm thanh Kết hợp 3.5 mm",Wi-Fi 6E (802.11ax),Windows 11 Home SL + Office Home & Student 2024 vĩnh viễn + Microsoft 365 Basic,312.4 x 220.1 x 14.9 mm,1.2kg,"75WHrs
4S1P
4-cell Li-ion","TYPE-C
Bộ đổi nguồn AC 65W
Đầu ra: 20V DC, 3.25A, 65W
Đầu vào: 100~240V AC 50/60Ghz chung",,Vỏ kim loại - Nhôm,"Máy ảnh FHD có chức năng IR để hỗ trợ Windows Hello
Có màn trập riêng tư",Công nghệ Smart AMP,,,,3K,,,,
"Laptop HUAWEI MateBook 14 2022 (i5-1240P/16GB/512GB/14"" 2K/Windows 11/Cảm ứng) - Chính hãng","21,990,000 ₫",Intel Core i5,i5 - 1240P,12,16,1.7 GHz,4.4Ghz,12 MB,Đồ họa Intel® Iris® Xe,GPU tích hợp,16GB,LPDDR4,4266 MHz LPDDR4x,None,Không hỗ trợ nâng cấp,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,2160×1440,IPS,"100% sRGB, 300nits Anti-glare, tỷ lệ màn hình 3:2, Góc nhìn 178 độ, tỷ lệ tương phản 1500:1.",10-point Multi-touch,60Hz,Full-size,Có đèn nền,Multi-touch touchpad,"USB-C × 1 (hỗ trợ dữ liệu, sạc và DisplayPort)
USB3.2 Gen 1 × 2
HDMI × 1
Tai nghe 3,5 mm và jack micrô 2-trong-1 × 1","IEEE 802.11a/b/g/n/ac/ax
Bluetooth v5.1",Windows 11 Home,307.5 x 223.8 x 15.9 mm,1.49kg,56 Wh,65 W USB-C,2022,Lithium polymer,Camera ẩn HD 720P,"2 loa, 4 microphones",,,,,,,,
Laptop ASUS Vivobook 14 X1404ZA-NK389W (I7-1255U/16GB/512GB PCIE/14.0 FHD/WIN11/BẠC) - Chính hãng,"14,490,000 ₫",Intel Core i7,i7 - 1255U,10,12,1.7 GHz,4.7 GHz,12MB,Đồ họa Intel® Iris® Xe,GPU tích hợp,16GB,DDR4,3200 MHz,Không,24 GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,1920x1080,IPS,"LED Backlit , Độ sáng 250 nits, Màn hình chống chói, Độ phủ màu 45% NTSC, TÜV Rheinland-certified",None,60Hz,Bàn phím tiêu chuẩn,Đang cập nhật,Multi-touch touchpad,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in","Bluetooth v5.3
Wi-Fi 6E",Windows 11 Home,32.49 x 21.39 x 1.79 ~ 1.79 cm (W x H x D),1.4 kg,"42WHrs, 3S1P, 3-cell Li-ion","ø4.5, Bộ nguồn 45W AC, Đầu ra: 19V DC, 2.37A, 45W, Đầu vào: 100~240V AC 50/60 Hz",2023,Nhựa,HD 720p with Privacy Shutter,"SonicMaster
Built-in speaker
Built-in array microphone",,,,,,,,
"Laptop Gaming MSI Cyborg 15 A12VF-267VN (i7-12650H/8GB/512GB/RTX 4060/15.6"" FHD 144Hz/Windows 11) - Chính hãng","21,990,000 ₫",Intel Core i7,i7 - 12650H,10,16,3.5 GHz,4.7 GHz,24 MB,,RTX 4060,8GB,DDR5,4800MHz,1 khe,64GB,512GB SSD,Có thể nâng cấp SSD lên dung lượng cao hơn,1,15.6 inch,1920x1080,IPS,"IPS-Level, 45% NTSC",None,144Hz,Backlight Keyboard,LED xanh,Multi-touch touchpad,"1x Mic-in/Headphone-out Combo
1x Type-C (USB3.2 Gen1 / DP)
2x Type-A USB3.2 Gen1
1x HDMI™ 2.1 (4K @ 60Hz)
1x RJ45","Wi-Fi 6
Bluetooth v5.2",Windows 11 Home,359.36 x 250.34 x 21.95~22.9 mm,1.98kg,3 cell / 53.5 Whr,,,Vỏ nhựa - nắp lưng bằng kim loại,HD type (30fps@720p),2 loa 2W,,8GB GDDR6,DDR5,,,,,
Laptop LG Gram 2024 14Z90S-G.AH55A5 (Ultra 5 125H/16GB/512GB/ Intel Arc/14 inch WUXGA /Win 11/Đen) - Chính hãng,"23,790,000 ₫",Intel Core Ultra 5,125H,14,18,0.7 Ghz,3.6 GHz,18 MB,Đồ họa Intel® Arc™,GPU tích hợp,16GB,LPDDR5X,6400 MHz,Không,Không hỗ trợ nâng cấp,512GB SSD,Còn trống 1 Slot M.2 2242 PCIe 3.0 x4,1,14.0 inch,1920 x 1200,IPS,"350 nit, DCI-P3 99% (Thông thường), Độ tương phản 1200:1 (Thông thường), Chống lóa mắt, Tỷ lệ, 16:10",,,"Bàn phím có đèn nền kích thước đầy đủ (Mỹ: 79 Phím, Anh: 80 Phím, Nhật Bản: 83 Phím)",Có,"Bàn di chuột chính xác có chức năng cuộn và thao tác
(kích thước: 107,6 x 65,6 mm)","USB 3.2 GEN1: 5G
USB4 Gen 3
Type C (USB PD & Intel Thunderbolt 4)
USB3.2 Gen 2
Type C (USB PD)","Bluetooth v5.3
Wi-Fi 6E -",Windows 11,312 x 214.3 x 15.7mm,1.12kg,,,,,Webcam FHD IR có micrô kép (Nhận dạng khuôn mặt),"Stereo Speaker 1.5W x 2
Âm thanh HD với Dolby Atmos",,,,,,,,
"Laptop Dell Inspiron 15 3520 (N5I5011W1) - (i5-1235U/16GB/512GB/Intel Iris Xe/15.6"" FHD 120Hz/Windows 11 + Office) - Chính hãng","14,850,000 ₫",Intel Core i5,i5 - 1235U,10,12,1.30 GHz,Turbo Boost 4.4 GHz,12MB,Intel Iris Xe Graphics,GPU tích hợp,16GB,DDR4,2666 MHz,Không,16GB,512GB SSD,"SSD nâng cấp lên dung lượng cao hơn
Hỗ trợ khay HDD SATA tối đa 2TB",1,15.6 inch,1920x1080,WVA,Anti-Glare LED-Backlit Display,Không,120Hz,Bàn phím tiêu chuẩn,Không,Multi-touch touchpad,"1 x HDMI
1 x USB 2.0
1 x Jack tai nghe 3.5 mm
2 x USB 3.2","Wi-Fi 6
Bluetooth v5.2",Windows 11 Home,358.5 x 235.56 x 18.99 mm,1.9kg,"3-cell Li-ion, 41 Wh",65 W,2022,Vỏ nhựa,720p HD,Realtek Audio,Microsoft Office Home & Student 2021 Vĩnh Viễn,,DDR4,,,,,
Laptop Dell Inspiron 15 3520 25P2312 (i5-1235U/16GB/512GB/Intel Iris Xe/15.6 inch FHD/Win 11+Office/Bạc),"15,990,000 ₫",Intel Core i5,i5 -1235U,10,12,,4.4 GHz,12 MB,Card đồ hoạ Intel Iris Xe,GPU tích hợp,16GB,DDR4,2666 MHz,Không,,512GB SSD,,1,15.6 inch,1920 x 1080,WVA,,None,120Hz,Full-size,Không có đèn,Multi-touch touchpad,"2 x USB 3.2
1 x USB 2.0
1 x SD card slot
Audio combo
1 x HDMI","WiFi
Bluetooth v5.0",Windows 11 Home SL,358.5 x 234.9 x 17.5 cm,1.7 kg,3 cell 41 Wh,,,,HD webcam,,,,,,,,,
"Laptop Asus ExpertBook B1 B1402CVA-NK0062W (i5-1335U/8GB/512GB/14"" FHD/Win11/Đen) - Chính hãng","11,990,000 ₫",Intel Core i5,i5 - 1335U,10,12,,4.6 GHz,12MB,Intel UHD Graphics,GPU tích hợp,8GB,DDR4,3200 MHz,1 khe,40GB,512GB SSD,,1,14 inch,1920×1080,TN,"LED Backlit
Độ sáng 250nits
Độ phủ màu NTSC: 45%
Góc nhìn (H/V) 90/65
Thời gian phản hồi (Typ/Max) (ms) 10/20
Độ tương phản 500:1
Màn hình 16:9
Màn hình chống chói",None,60Hz,Bàn phím tiêu chuẩn,,Multi-touch touchpad,"1 x USB 2.0 Type-A
1 x USB 3.2 Gen 1 Type-A
1 x USB 3.2 Gen 1 Type-C hỗ trợ sạc chuẩn Power Delivery
1 x USB 3.2 thế hệ 2 Type-C hỗ trợ màn hình / sạc nhanh
1 x HDMI 1.4
1 x 3.5mm Combo Audio Jack
1 x RJ45","Wi-Fi 6E
Bluetooth v5.3",Windows 11 Home,326.9 x 214.45 x 19.9 mm,1.49 kg,3Cell 42WHrs,,,Vỏ nhựa,Camera HD 720p có chức năng IR hỗ trợ Windows Hello Với màn trập riêng tư,Âm thanh Dirac,,,,,,,,
Laptop Lenovo ThinkPad E14 Gen 5 21JK00H5VN ( i5-13420H/16GB/512GB/14inch WUXGA/Win 11/Đen) - Chính hãng,"19,490,000 ₫",Intel Core i5,i5 - 13420H,8,12,1.5GHz,4.6 GHz,12MB,Card tích hợp - Intel UHD Graphics,GPU tích hợp,16GB,DDR4,3200 MHz,Không,"nâng cấp tối đa 40GB DDR4, (8GB soldered + 32GB SO-DIMM)",512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,1920x1200,IPS,"Độ sáng 300 inits
Màn hình chống chói
Độ phủ màu 45% NTSC",None,60Hz,Bàn phím tiêu chuẩn,Có đèn nền,Multi-touch touchpad,"1x USB 2.0
1x USB 3.2 Gen 1(luôn bật)
1x Thunderbolt 4 / USB4 40Gbps, 1x USB-C 3.2 Gen 2 (truyền dữ liệu, Power Delivery 3.0, DisplayPort 1.4)
1x HDMI 2.1, up to 4K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Ethernet (RJ-45)","Bluetooth v5.1
Wi-Fi 6",Windows 11,313 x 219.3 x 17.99 mm,1.43kg,47Whrs,,2024,Vỏ kim loại,FHD 1080p + IR Hybrid với màn trập camera,"Âm thanh độ nét cao (HD) Synaptic® CX11880 codec, loa âm thanh nổi, 2W x2
Dolby Atmos",,,,,,,,
Laptop HP Envy 16-h0034TX 6K7G0PA-i7-12700H/16GB/512GB/RTX 3060 6GB/16 Inch 120Hz- Chính hãng,"35,990,000 ₫",Intel Core i7,12700H,14,20,2.3 GHz,4.70 GHz,24 MB Intel® Smart Cache,Đồ họa Intel® Iris® Xe,RTX 3060,16GB,DDR5,4800 MHz,Không,32GB (tổng 2 khe),512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,16 inch,2560x1600,IPS,"Edge-to-edge glass, micro-edge, Low Blue Light, 400 nits, 100% sRGB.",10-point Multi-touch,120Hz,Bàn phím tiêu chuẩn,Có đèn nền,Multi-touch touchpad,"2 x Thunderbolt™ 4 with USB4™ Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge);
1 x SuperSpeed USB Type-A 10Gbps signaling rate (HP Sleep and Charge);
1 x SuperSpeed USB Type-A 10Gbps signaling rate
1 x HDMI 2.1
1 x headphone/microphone combo
1 x microSD media card reader","Wi-Fi 6E
Bluetooth v5.2",Windows 11 Home,35.74 x 25.18 x 1.99 cm,2.32kg,6Cell 83WHrs,,2023,Vỏ kim loại,HP True Vision 5MP IR camera with camera shutter,2 loa,,,,,,,,
"Laptop Acer Predator Helios Neo 16S AI (PHN16S-71-94T0) (U9 275HX/32G/2TB SSD/16"" OLED/Win11 Home/RTX5070ti/Black)","64,490,000 ₫",Intel Core Ultra 9,U9 - 275HX,24,24,,5.4 GHz,36M Cache,Intel® Graphics,NVIDIA® GeForce RTX™ 5070 Ti 12GB,32GB,DDR5,6400 MHz,None,"(2x SO-DIMM socket, up to 96GB SDRAM)",2TB SSD,Không có thông tin cụ thể (2 SSD slots),1,16 inch,2560 x 1600,OLED,"AcerCineCrystal™, True Black HDR 500 (@HDR 500), Nvidia Advanced Optimus capable",Không,240Hz,Backlit Chiclet Keyboard,Có (4-zone RGB keyboard),Multi-touch touchpad,"1 x USB Type-C™ (USB 3.2 Gen 2 up to 10 Gbps, DisplayPort over USB-C, Thunderbolt™ 4, USB charging 5V; 3A, DC-in port 20V; 90 or 100W)
1 x USB Type-C™ (USB 3.2 Gen 2 up to 10 Gbps, DisplayPort over USB-C, USB charging 5V; 3A, DC-in port 20V; 90W)
3 x USB Standard-A (1x USB 3.2 Gen 1, 1x USB 3.2 Gen 2, 1x USB 3.2 Gen 2 with power-off charging)
1 x HDMI® 2.1 port with HDCP support
1 x Ethernet (RJ-45) port
1 x Micro SD card reader
1 x DC-in jack for AC adapter
1 x 3.5 mm headphone/speaker jack (supports headsets with built-in microphone)","Wifi: Killer™ Wireless Wi-Fi 6E 1675i (802.11 a/b/g/n/ac/ax, 2.4 GHz, 5 GHz, 6 GHz, 2x2 MU-MIMO technology, supports CNVi interface)
Bluetooth: Supports Bluetooth® 5.4 or above, Supports Bluetooth LE Audio (LC3)",Windows 11 Home SL,356.78 (W) x 275.5 (D) x 12/19.97 (H) mm,2.3 kg,76Wh 4-cell Li-ion battery,230W 5.5 PHY PCR 50% AC adapter,2025,"Mặt A, D: Kim loại, Mặt B, C: Nhựa",FHD Webcam (1920 x 1080) + IR camera with blue glass,,,,,2K+,,,,
"Laptop Asus ROG Strix G18 G814JI-N6063W (i9-13980HX/32GB/1TB/RTX 4070 8GB/18"" QHD IPS/Windows 11) – Chính hãng",Giá: Liên hệ,Intel Core i9,i9- 13980HX,24,32,2.2 GHz,5.6 GHz,36MB,NVIDIA® GeForce RTX™ 4070 8GB GDDR6,RTX 4070,32GB,DDR5,4800 Mhz,1 khe,32GB,1TB SSD,PCIe® 4.0 NVMe™ M.2 SSD,1,18 inch,2560x1600,IPS,"ROG Nebula Display
IPS
Màn hình chống chói
DCI-P3: 100.00%
Thời gian đáp ứng: 3ms
G-Sync
Đạt chuẩn Pantone Validated
MUX Switch + NVIDIA® Advanced Optimus
Hỗ trợ Dolby Vision HDR: Có",Không,240Hz,Bàn phím tiêu chuẩn,Đèn chuyển màu RGB - Per-Key,Multi-touch touchpad,"1 Jack cắm âm thanh combo 3.5mm
1x HDMI 2.1 FRL
2x USB 3.2 thế hệ 2 Type-A
1x USB 3.2 thế hệ 2 Type-C hỗ trợ DisplayPort™/Power Delivery/G-SYNC
1x cổng LAN RJ45
1x Thunderbolt™ 4 hỗ trợ DisplayPort™","Wi-Fi 6E
Bluetooth 5.2",Windows 11 Home,"39.9 x 29.4 x 2.31 ~ 3.08 cm
3.00 Kg",3.0kg,"4-cell Li-ion, 90 Wh",280 W,2023,Vỏ nhựa - nắp lưng bằng kim loại,Camera HD 720P,"Hi-Res certification
Công nghệ Smart AMP
Dolby Atmos",,,DDR5,,,,,
"Laptop Gaming MSI Thin 15 (B12UCX-1419VN) (I5-12450H/8GB/512GB/RTX 2050/15.6"" FHD 144HZ/WIN 11/Xám/Ba lô) - Chính hãng","14,490,000 ₫",Intel Core i5,i5 - 12450H,8,12,2.2 GHz,4.4 GHz,12MB,,RTX 2050,8GB,DDR4,3200 MHz,1 khe,64GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)",1,15.6 inch,1920x1080,IPS,"IPS-Level, 45% NTSC, 65% sRGB",None,144Hz,Chiclet Keyboard,Bàn phím có đèn nền màu xanh,Multi-touch touchpad,"1x Type-C (USB3.2 Gen1 / DP)
3x Type-A USB3.2 Gen1
1x HDMI™ (4K @ 30Hz)
1x RJ45","Wi-Fi 6
Bluetooth v5.3",Windows 11 Home,359mm x 254mm x 21.7mm,1.86kg,52.4Whr,,2024,Vỏ nhựa - nắp lưng bằng kim loại,HD type (30fps@720p),DTS:X Ultra,,,,,,,,
"Laptop ASUS Vivobook Go 14 E1404FA-NK186W (Ryzen 5 7520U/16GB/512GB/14"" FHD/Windows 11) - Chính hãng","10,990,000 ₫",AMD Ryzen 5,R5 - 7520U,4,8,2.8 GHz,4.3 GHz,4MB,AMD Radeon Graphics,GPU tích hợp,16GB,DDR4,5500MHz,None,Không hỗ trợ nâng cấp,512GB SSD,SSD có thể thay thế,1,14 inch,1920x1080,TN,"16:9, LED Backlit, 60Hz, 250nits, 45% NTSC, Anti-glare display",Không,60Hz,Chiclet Keyboard,Không có đèn nền,Multi-touch touchpad,"1 x USB 2.0 Type-A
1 x USB 3.2 Gen 1 Type-A
1 x USB 3.2 Gen 1 Type-C
1 x HDMI 1.4
1 x Jack cắm tai nghe 3.5 mm
1 x Đầu vào DC","Wi-Fi 6E
Bluetooth 5.3",Windows 11 Home,32.45 x 21.39 x 1.79 ~ 1.79 cm,1.38kg,42WHrs,,2023,Nhựa,HD webcam,"SonicMaster
Loa tích hợp
Micrô mảng tích hợp",,,LPDDR5,,,,,
"Laptop Lenovo V14 G4 IRU - 83A000FQVN (I5-13420H/16GB/512GB/14"" FHD/Win 11 Home) - Chính hãng","14,990,000 ₫",Intel Core i5,i5 - 13420H,8,12,2.1 GHz,4.6 GHz,12Mb,,Intel UHD Graphics,16GB,DDR4,3200 MHz,1 khe,,,,1,14 inch,1920 x 1080,IPS,,,,English International Non-backlit Keyboard,Không,Multi-touch touchpad,"1 USB 2.0
1 USB 3.2 Gen 1
1 USB 3.2 Gen 1 Type-C
1 HDMI 1.4
1 Jack 3.5 mm
1 RJ45 Gigabit Ethernet
1 Power connector","Bluetooth v5.2
Wi-Fi 6",Windows 11 Home Single Language,324.2 x 215.2 x 19.9 mm,1.43 kg,"2 cell, 38 Wh",,2024,Nhựa,HD Webcam (720p Webcam),,,,,,,,,
