Tên sản phẩm,Giá bán,Thương hiệu,Bảo hành,Mô tả bảo hành,CPU,NPU,Chip đồ họa,Màn hình,Webcam,Ram,Lưu trữ,Cổng kết nối,Kết nối không dây,Bàn phím,Hệ điều hành,Kích thước,Pin,Khối lượng,Bảo mật,Đèn LED trên máy,Trong hộp có gì,Series model,Tên,Part-number,Màu sắc,Nhu cầu,Âm thanh,Chất liệu,Dung lượng RAM,Dung lượng SSD,"Kích thước, khối lượng",Công suất pin,Cổng HDMI,Tính năng đặc biệt
Laptop Acer Gaming Aspire 5 A515-58GM-598J,18.190.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-13420H ( 2.1 GHz - 4.6 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,GeForce RTX™ 2050 4GB GDDR6 Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC , Acer ComfyView",FHD webcam,2 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , LED",Windows 11 Home SL,36.1 x 23.7 x 1.79 cm,"50 Wh , Pin liền",1.7 kg,Vân tay,,"Adapter, dây nguồn, HDSD,…",Acer Aspire,Gaming Aspire 5 A515-58GM-598J,NX.KW1SV.002,Xám,Gaming,,"Vỏ nhựa Polycarbonate, nắp lưng kim loại",,,,,,
Laptop HP ProBook 440 G10 - 873C1PA,24.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1360P ( 2.2 GHz - 5.0 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz , cảm ứng",HD webcam,1 x 16GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",Windows 11 Home,32.19 x 21.39 x 1.99 cm,"3 cell 51 Wh , Pin liền",1.4 kg,Vân tay,,"Adapter, dây nguồn,…",HP Probook,ProBook 440 G10 - 873C1PA,873C1PA,Bạc,Văn phòng,,Kim loại,,,,,,
Laptop Dell Inspiron 15 3520 - 25P2312,16.190.000₫,Dell,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1235U ( 1.3 GHz - 4.4 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD WVA , 120Hz , không cảm ứng , 250 nits",HD webcam,2 x 8GB DDR4 2666MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
1 x USB 2.0
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ac , Bluetooth 5.0","Bàn phím thường , có phím số , không đèn",Windows 11 Home SL + Office Home & Student 2021,35.85 x 23.49 x 1.75 cm,"3 cell 41 Wh , Pin liền",1.7 kg,,,,Dell Inspiron,Inspiron 15 3520 - 25P2312,25P2312,Bạc,Văn phòng,,,,,,,,
Laptop HP Victus 16-r0225TX - 9Q976PA,32.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-13700H ( 2.4 GHz - 5.0 GHz / 24MB / 14 nhân, 12 luồng ), Non-EVO",,GeForce RTX™ 4050 6GB GDDR6 Intel® Iris® Xe Graphics,"16.1"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC",FHD webcam,2 x 16GB DDR5 5200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort
3 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , RGB",Windows 11 Home,36.9 x 25.94 x 2.29 - 2.39 cm,"4 cell 70 Wh , Pin liền",2.3 kg,,,"Adapter, dây nguồn",HP Victus,Victus 16-r0225TX - 9Q976PA,9Q976PA,Bạc,Gaming,HP Audio Boost,,,,,,,
Laptop HP Envy x360 14-fc0090TU - A19C0PA,28.690.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-155U ( 1.7 GHz - 4.8 GHz / 12MB / 12 nhân, 14 luồng ), Intel AI",Intel® AI Boost NPU,Onboard graphics Intel® Arc™ Graphics,"14"" ( 2880 x 1800 ) 2.8K OLED , 60Hz , cảm ứng , 500 nits , 100% DCI-P3",HD webcam,16GB Onboard LPDDR5 6400MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",Windows 11 Home,31.33 x 21.89 x 1.69 cm,"3 cell 59 Wh , Pin liền",1.4 kg,,,"Adapter, dây nguồn, pen…",HP Envy,Envy x360 14-fc0090TU - A19C0PA,A19C0PA,Bạc,Văn phòng,HP Audio Boost,,,,,,,
Laptop HP Envy x360 14-fa0049AU - A19BRPA,25.590.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 5 8640HS ( 3.5 GHz - 4.9 GHz / 16MB / 6 nhân, 12 luồng ), AMD AI",AMD Ryzen™AI up to 31 TOPs,Onboard graphics AMD Radeon 760M,"14"" ( 2880 x 1800 ) 2.8K OLED , 60Hz , cảm ứng , 500 nits , 100% DCI-P3",HD webcam,16GB Onboard LPDDR5 6400MHz,1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.1 Gen 1 Type C / DisplayPort
2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",Windows 11 Home,31.33 x 21.89 x 1.69 cm,"3 cell 59 Wh , Pin liền",1.4 kg,,,"Adapter, dây nguồn, pen…",HP Envy,Envy x360 14-fa0049AU - A19BRPA,A19BRPA,Bạc,Văn phòng,HP Audio Boost,,,,,,,
Laptop HP Victus 16-s0136AX - 9Q984PA,22.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 5 7640HS ( 4.3 GHz - 5.0 GHz / 16MB / 6 nhân, 12 luồng ), AMD AI",AMD Ryzen™AI up to 10 TOPs,GeForce RTX™ 3050 6GB GDDR6 AMD Radeon 760M,"16.1"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC",FHD webcam,2 x 16GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"1 x USB Type C / DisplayPort
3 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , RGB",Windows 11 Home,36.9 x 25.94 x 2.29 - 2.39 cm,"4 cell 70 Wh , Pin liền",2.3 kg,,,"Adapter, dây nguồn,…",HP Victus,Victus 16-s0136AX - 9Q984PA,9Q984PA,Bạc,Gaming,HP Audio Boost,,,,,,,
Laptop HP Envy x360 14-fa0045AU - A19BMPA,34.090.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 7 8840HS ( 3.3 GHz - 5.1 GHz / 16MB / 8 nhân, 16 luồng ), AMD AI",AMD Ryzen™AI up to 38 TOPs,Onboard graphics AMD Radeon 780M,"14"" ( 2880 x 1800 ) 2.8K OLED , 60Hz , cảm ứng , 500 nits , 100% DCI-P3",HD webcam,32GB Onboard LPDDR5 6400MHz,1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",Windows 11 Home,31.33 x 21.89 x 1.69 cm,"3 cell 59 Wh , Pin liền",1.4 kg,,,"Adapter, dây nguồn, pen…",HP Envy,Envy x360 14-fa0045AU - A19BMPA,A19BMPA,Bạc,Văn phòng,HP Audio Boost,,,,,,,
Laptop HP Envy x360 14-fc0088TU - A19BYPA,32.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-155U ( 1.7 GHz - 4.8 GHz / 12MB / 12 nhân, 14 luồng ), Intel AI",Intel® AI Boost NPU,Onboard graphics Intel® Arc™ Graphics,"14"" ( 2880 x 1800 ) 2.8K OLED , 60Hz , cảm ứng , 500 nits , 100% DCI-P3",HD webcam,16GB Onboard LPDDR5 6400MHz,1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",Windows 11 Home,31.33 x 21.89 x 1.69 cm,"3 cell 59 Wh , Pin liền",1.4 kg,,,"Adapter, dây nguồn, pen…",HP Envy,Envy x360 14-fc0088TU - A19BYPA,A19BYPA,Bạc,Văn phòng,HP Audio Boost,,,,,,,
Laptop HP Envy x360 14-fa0046AU - A19BNPA,30.490.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 7 8840HS ( 3.3 GHz - 5.1 GHz / 16MB / 8 nhân, 16 luồng ), AMD AI",AMD Ryzen™AI up to 38 TOPs,Onboard graphics AMD Radeon 780M,"14"" ( 2880 x 1800 ) 2.8K OLED , 60Hz , cảm ứng , 400 nits , 100% DCI-P3",HD webcam,32GB Onboard LPDDR5 6400MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home,31.33 x 21.89 x 1.69 cm,"3 cell 59 Wh , Pin liền",1.4 kg,,,"Adapter, dây nguồn, pen…",HP Envy,Envy x360 14-fa0046AU - A19BNPA,A19BNPA,Bạc,Văn phòng,DTS X:Ultra Audio,,,,,,,
Laptop Asus VivoBook 15 OLED A1505VA-MA492W,20.890.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-13700H ( 2.4 GHz - 5.0 GHz / 24MB / 14 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 2880 x 1620 ) 3K 16:9 , OLED , 120Hz , không cảm ứng , 600 nits , 100% DCI-P3",FHD webcam,2 x 8GB DDR4 ( 1 Khe cắm / Hỗ trợ tối đa 24GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet , không đèn",Windows 11 Home,35.68 x 22.76 x 1.99 cm,"3 cell 50 Wh , Pin liền",1.7 kg,Khuôn mặt,,"Adapter, dây nguồn,…",ASUS Vivobook,VivoBook 15 OLED A1505VA-MA492W,90NB10P2-M00LE0,Bạc,Văn phòng,SonicMaster,,,,,,,
Laptop Asus Vivobook 14X OLED A1405ZA-KM264W,16.190.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-12500H ( 2.5 GHz - 4.5 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 2800 x 1800 ) 2.8K 16:10 , OLED , 60Hz , không cảm ứng , 600 nits , 100% DCI-P3",FHD webcam,2 x 8GB DDR4 ( 1 Khe cắm / Hỗ trợ tối đa 24GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet , không phím số , không đèn",Windows 11 Home,31.71 x 22.20 x 1.99 cm,"3 cell 50 Wh , Pin liền",1.6 kg,Khuôn mặt,,"Adapter, dây nguồn,…",ASUS Vivobook,Vivobook 14X OLED A1405ZA-KM264W,90NB0ZC1-M00BF0,Bạc,Văn phòng,SonicMaster,,,,,,,
Laptop Lenovo LOQ 15ARP9 - 83JC003VVN,24.490.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 7 7435HS ( 3.1 GHz - 4.5 GHz / 16MB / 8 nhân, 16 luồng ), AMD",,"GeForce RTX™ 4050 6GB GDDR6 ( 2370 MHz , 105W","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 300 nits , 100% sRGB , Màn hình chống lóa , G-Sync",HD webcam,1 x 12GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 2280 ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Có phím Copilot , Vỏ nhựa , LED",Windows 11 Home SL,35.98 x 25.87 x 2.19-2.39 cm,"4 cell 60 Wh , Pin liền",2.4 kg,,,Adapter,Lenovo LOQ,LOQ 15ARP9 - 83JC003VVN,83JC003VVN,Xám,Gaming,Nahimic Audio,Vỏ nhựa,,,,,,
Laptop Lenovo ThinkBook 14 G6 IRL - 21KG00RDVN,17.490.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-13420H ( 2.1 GHz - 4.6 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"14"" ( 1920 x 1200 ) WUXGA IPS , 60Hz , không cảm ứng , 300 nits , 45% NTSC , Màn hình chống lóa",FHD webcam,2 x 8GB DDR5 5200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),512GB SSD M.2 NVMe ( 2 x M.2 2280 ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",Windows 11 Home SL,31.35 x 22.4 x 1.69 cm,"60 Wh , Pin liền",1.4 kg,"Khuôn mặt, Vân tay",,Adapter,Lenovo ThinkBook,ThinkBook 14 G6 IRL - 21KG00RDVN,21KG00RDVN,Xám,Văn phòng,Dolby Audio,Vỏ nhôm,,,,,,
Laptop Lenovo IdeaPad Slim 5 14IMH9 - 83DA006UVN,24.490.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-155H ( 3.8 GHz - 4.8 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI","Intel® AI Boost, up to 11 TOPS",Onboard graphics Intel® Arc™ Graphics,"14"" ( 1920 x 1200 ) WUXGA OLED , 60Hz , không cảm ứng , 400 nits , 100% DCI-P3",FHD webcam,16GB Onboard LPDDR5x 7467MHz,512GB SSD M.2 NVMe ( 1 x M.2 2280 ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím Chiclet với phím Copilot , không phím số , LED","Windows 11 Home 64, English",31.2 x 22.1 x 1.69 cm,"3 cell 57 Wh , Pin liền",1.5 kg,Khuôn mặt,,Adapter,Lenovo IdeaPad,IdeaPad Slim 5 14IMH9 - 83DA006UVN,83DA006UVN,Xám,Văn phòng,Dolby Atmos,Vỏ nhôm,,,,,,
Laptop Asus VivoBook 15 OLED A1505VA-MA469W,22.690.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i9-13900H ( 2.6 GHz - 5.4 GHz / 24MB / 14 nhân, 20 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 2800 x 1620 ) 3K 16:9 , OLED , 60Hz , không cảm ứng , 600 nits , 100% DCI-P3",FHD webcam,2 x 8GB DDR4 ( 1 Khe cắm / Hỗ trợ tối đa 24GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
2 x USB 3.2
1 x USB 2.0
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet , có phím số , không đèn",Windows 11 Home,35.68 x 22.76 x 1.99 cm,"3 cell 50 Wh , Pin liền",1.7 kg,Khuôn mặt,,"Adapter, dây nguồn,…",ASUS Vivobook,VivoBook 15 OLED A1505VA-MA469W,90NB10P2-M00KN0,Bạc,Văn phòng,SonicMaster,,,,,,,
Laptop Lenovo Yoga Pro 7 14IMH9 - 83E2005DVN,42.190.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-155H ( 3.8 GHz - 4.8 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI","Intel® AI Boost, up to 11 TOPS",GeForce RTX™ 4050 6GB GDDR6 Intel® Arc™ Graphics,"14.5"" ( 2880 x 1800 ) 2.8K OLED , 120Hz , không cảm ứng , 400 nits , 100% DCI-P3",FHD webcam,1 x 32GB DDR5 7467MHz Hỗ trợ tối đa 32GB ),1TB SSD M.2 NVMe ( 1 x M.2 2242 ),"1 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home,359.36 x 250.34 x 21.95-22.9 mm,"3 cell 53 Wh , Pin liền",2 kg,,,,Lenovo Yoga,Yoga Pro 7 14IMH9 - 83E2005DVN,83E2005DVN,Xanh,Văn phòng,Dolby Atmos,Vỏ nhôm,,,,,,
Laptop Lenovo LOQ 15IAX9 - 83GS001SVN,19.990.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-12450HX ( 2.4 GHz - 4.4 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,"GeForce RTX™ 2050 4GB GDDR6 Intel® UHD Graphics 710 ( 1575MHz , 65W","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 300 nits , 100% sRGB , Màn hình chống lóa , G-Sync",HD webcam,1 x 12GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 2280 ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",Windows 11 Home SL,359.86 x 258.7 x 21.9-23.9 mm,"60 Wh , Pin liền",2.4 kg,,,,Lenovo LOQ,LOQ 15IAX9 - 83GS001SVN,83GS001SVN,Xám,Gaming,Dolby Audio,Vỏ nhựa,,,,,,
Laptop Msi Cyborg 15 A13VFK-876VN,25.890.000₫,Msi,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-13620H ( 2.4 GHz - 4.9 GHz / 24MB / 10 nhân, 16 luồng ), Non-EVO",,"GeForce RTX™ 4060 8GB GDDR6 Intel® UHD Graphics ( 1470MHz , 45W , 233 AI TOPS )","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , Màn hình chống lóa",HD webcam,2 x 8GB DDR5 5200MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort
2 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , RGB 4 vùng",Windows 11 Home,359.36 x 250.34 x 21.95-22.9 mm,"3 cell 53 Wh , Pin liền",2 kg,,,,MSI Cyborg,Cyborg 15 A13VFK-876VN,876VN,Đen,Gaming,,,,,,,,
Laptop Lenovo Legion Pro 7 16IRX9H - 83DE001NVN,81.990.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i9-14900HX ( 2.2 GHz - 5.8 GHz / 36MB / 24 nhân, 32 luồng ), Non-EVO",,GeForce RTX™ 4080 12GB GDDR6 Intel® UHD Graphics 770,"16"" ( 2560 x 1600 ) WQXGA IPS , 240Hz , không cảm ứng , 300 nits , Màn hình chống lóa",FHD webcam,2 x 16GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),1TB SSD M.2 NVMe ( 2 x M.2 2280 ),"1 x USB Type C / DisplayPort / Power Delivery
4 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số , RGB",Windows 11 Home SL,363.5 x 262.1 x 21.95-25.9 mm,"99 Wh , Pin liền",2.6 kg,,,,Lenovo Legion,Legion Pro 7 16IRX9H - 83DE001NVN,83DE001NVN,Xám,Gaming,Dolby Audio,Vỏ nhựa,,,,,,
Laptop Dell Gaming G15 5530,36.990.000₫,Dell,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-13650HX ( 2.6 GHz - 4.9 GHz / 24MB / 14 nhân, 20 luồng ), Non-EVO",,GeForce RTX™ 4060 8GB GDDR6 Intel® UHD Graphics 710,"15.6"" ( 1920 x 1080 ) Full HD 165Hz , không cảm ứng , 100% sRGB , ComfortView Plus",HD webcam,2 x 8GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , RGB 4 vùng",Windows 11 Home SL + Office Home & Student 2021,21.28 - 26.15 x 357.26 x 274.52 mm,"3 cell 56 Wh , Pin liền",2.6 kg,,,"Adapter, dây nguồn, HDSD,…",Dell G Series,Gaming G15 5530 (G15-5530-i7H161W11GR4060),G15-5530-i7H161W11GR4060,Xám,Gaming,,,,,,,,
Laptop Dell Inspiron 15 3530,13.990.000₫,Dell,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i3-1305U ( 1.6 GHz - 4.5 GHz / 10MB / 5 nhân, 6 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"15.6"" ( 1920 x 1080 ) Full HD WVA , 120Hz , không cảm ứng , 250 nits , Màn hình chống lóa",HD webcam,1 x 8GB DDR4 2666MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
2 x USB 3.2
1 x USB 2.0
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , không đèn",Windows 11 Home SL + Office Home & Student 2021,16.96 - 18.99 x 358.50 x 235.56 mm,"3 cell 41 Wh , Pin liền",1.6 kg,,,"Adapter, dây nguồn, HDSD,…",Dell Inspiron,Inspiron 15 3530 (N3530-i3U085W11SLU),N3530-i3U085W11SLU,Bạc,Văn phòng,,,,,,,,
Laptop Lenovo LOQ 15IAX9 - 83GS004BVN,19.990.000₫,Lenovo,36 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-12450HX ( 2.4 GHz - 4.4 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,"GeForce RTX™ 3050 6GB GDDR6 Intel® UHD Graphics 710 ( 1732MHz , 95W","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 300 nits , 100% sRGB , Màn hình chống lóa , G-Sync",HD webcam,1 x 12GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 1 x M.2 2280 ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Có phím Copilot , có phím số , LED",Windows 11 Home SL,359.86 x 258.7 x 21.9-23.9 mm,"4 cell 60 Wh , Pin liền",2.4 kg,,,"Adapter, dây nguồn",Lenovo LOQ,LOQ 15IAX9 - 83GS004BVN,83GS004BVN,Xám,Gaming,Nahimic Audio,Vỏ nhựa,,,,,,
Laptop Asus Vivobook S 16 OLED S5606MA-MX051W,25.690.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-155H ( 3.8 GHz - 4.8 GHz / 24MB / 16 nhân, 22 luồng ), Intel AI",Intel® AI Boost NPU,Onboard graphics Intel® Arc™ Graphics,"16"" ( 3200 x 2000 ) 3.2K 16:10 , OLED , 120Hz , không cảm ứng , 600 nits , 100% DCI-P3 , Màn hình chống lóa",FHD webcam,16GB Onboard LPDDR5x Không nâng cấp được ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , có phím số , RGB",Windows 11 Home,35.36 x 24.69 x 1.39 ~ 1.59 cm,"4 cell 75 Wh , Pin liền",1.5 kg,Khuôn mặt,,,ASUS Vivobook,Vivobook S 16 OLED S5606MA-MX051W,90NB12E1-M002F0,Xanh,Văn phòng,Smart Amp Technology,Vỏ nhôm,,,,,,
Laptop Asus Vivobook S 14 OLED S5406MA-PP136W,25.590.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 5-125H ( 3.6 GHz - 4.5 GHz / 18MB / 14 nhân, 18 luồng ), Intel AI",Intel® AI Boost NPU,Onboard graphics Intel® Arc™ Graphics,"14"" ( 2880 x 1800 ) 2.8K 16:10 , OLED , 120Hz , không cảm ứng , 600 nits , 100% DCI-P3 , Màn hình chống lóa",FHD webcam,16GB Onboard LPDDR5x Không nâng cấp được ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , RGB",Windows 11 Home,31.05 x 22.19 x 1.39 ~ 1.59 cm,"4 cell 75 Wh , Pin liền",1.3 kg,Khuôn mặt,,,ASUS Vivobook,Vivobook S 14 OLED S5406MA-PP136W,90NB12H2-M008T0,Xanh,Văn phòng,Smart Amp Technology,Vỏ kim loại,,,,,,
